Table S8: Differential expression test results for the identification of neuron cluster enriched genes.,,,,,,,,
gene_id,symbol,max.cluster,max.cluster.expr,cluster.2,cluster.2.expr,ratio,pval,qval
WBGene00009562,flp-22,Pharyngeal_(33),21430.64,ASG,1970.18,10.87,9.27E-16,1.77E-14
WBGene00003165,mec-1,Touch_receptor,16304.19,SDQ/ALN/PLN,3822.12,4.26,1.28E-15,2.35E-14
WBGene00001466,flr-2,Pharyngeal_(33),9249.59,Pharyngeal_(37),1208.10,7.65,1.25E-15,2.35E-14
WBGene00006762,unc-25,GABAergic,14254.85,Pharyngeal_(33),1382.06,10.31,1.50E-14,2.70E-13
WBGene00001542,gcy-17,ASEL,6553.87,AWA,0.00,6553.87,1.83E-14,3.22E-13
WBGene00003168,mec-4,Touch_receptor,2263.60,ASI/ASJ,117.08,19.17,2.97E-14,5.14E-13
WBGene00003740,nlp-2,AWA,6068.31,ASG,198.77,30.38,3.77E-14,6.40E-13
WBGene00001457,flp-14,Cluster_10,68807.25,Cholinergic_(36),12344.66,5.57,4.49E-14,7.48E-13
WBGene00002089,ins-6,ASI/ASJ,2165.55,Cluster_16,61.05,34.90,1.59E-13,2.60E-12
WBGene00001537,gcy-11,ASG,34402.28,Cluster_40,467.01,73.51,2.19E-13,3.52E-12
WBGene00001534,gcy-7,ASEL,3709.66,Cluster_16,26.38,135.49,2.39E-13,3.79E-12
WBGene00021268,capa-1,ASG,3690.41,Pharyngeal_(33),32.62,109.78,2.73E-13,4.25E-12
WBGene00012457,acbp-6,CAN,4936.70,Cholinergic_(23),35.61,134.84,4.22E-13,6.45E-12
WBGene00001535,gcy-8,AFD,6201.26,RIA,24.69,241.38,4.35E-13,6.54E-12
WBGene00012753,Y41C4A.6,ASG,4081.61,Cluster_16,235.56,17.25,4.67E-13,6.90E-12
WBGene00006665,twk-10,Touch_receptor,858.45,PVC/PVD,6.13,120.43,5.12E-13,7.45E-12
WBGene00195081,C04F6.7,ASEL,3278.13,PVC/PVD,58.55,55.05,6.10E-13,8.74E-12
WBGene00017850,F27B10.1,Cluster_5,6869.42,ASG,410.15,16.71,6.28E-13,8.83E-12
WBGene00003938,pax-2,ASK,1615.78,Cluster_25,25.32,61.38,6.36E-13,8.83E-12
WBGene00015354,snet-1,Cluster_17,31118.00,ASK,3790.46,8.21,1.04E-12,1.42E-11
WBGene00001541,gcy-15,ASG,3195.27,Pharyngeal_(33),32.62,95.05,2.60E-12,3.51E-11
WBGene00013023,Y48G10A.6,PVC/PVD,2216.30,ASG,102.90,21.33,6.71E-12,8.92E-11
WBGene00005959,srx-68,AWA,2584.95,ASG,0.00,2584.95,7.73E-12,1.01E-10
WBGene00001464,flp-21,Cluster_10,11332.22,URX/AQR/PQR,1142.22,9.91,8.12E-12,1.05E-10
WBGene00001462,flp-19,Cholinergic_(23),25853.45,Cholinergic_(35),2277.77,11.35,1.86E-11,2.36E-10
WBGene00001540,gcy-14,ASEL,6083.65,BAG,136.51,44.24,1.30E-10,1.64E-09
WBGene00009158,F26E4.3,Cholinergic_(29),7693.67,ASG,1316.76,5.84,1.50E-10,1.86E-09
WBGene00021125,ccb-2,Cholinergic_(29),400.73,Cholinergic_(11),10.48,34.89,1.56E-10,1.90E-09
WBGene00001456,flp-13,Pharyngeal_(37),8764.51,BAG,1187.20,7.38,1.83E-10,2.21E-09
WBGene00009216,F28D1.6,ASG,4770.75,Cluster_16,620.39,7.68,2.22E-10,2.64E-09
WBGene00003629,nhr-38,AFD,5003.54,AWB/AWC,35.97,135.36,2.59E-10,3.04E-09
WBGene00000529,clh-2,Cholinergic_(26),3269.35,Cholinergic_(24),745.36,4.38,3.15E-10,3.66E-09
WBGene00001445,flp-2,Cholinergic_(23),6519.08,URX/AQR/PQR,503.62,12.92,1.61E-09,1.84E-08
WBGene00005845,srw-98,Cholinergic_(26),699.95,Cluster_25,29.94,22.62,1.78E-09,2.02E-08
WBGene00001444,flp-1,flp-1(+),52660.60,Cluster_13,8041.00,6.55,2.36E-09,2.64E-08
WBGene00020385,nhr-216,AWA,4165.64,ASK,220.85,18.78,2.79E-09,3.08E-08
WBGene00003838,ocr-1,AWA,2122.98,Cluster_21,31.92,64.49,3.01E-09,3.28E-08
WBGene00019160,H05L03.3,flp-1(+),24613.83,Cluster_13,3767.79,6.53,6.15E-09,6.56E-08
WBGene00010575,flp-25,Cluster_21,1775.30,Cluster_16,193.94,9.11,6.14E-09,6.56E-08
WBGene00011428,T04C12.3,Cholinergic_(35),11746.90,flp-1(+),2905.98,4.04,8.58E-09,9.05E-08
WBGene00016032,C24A3.1,Cholinergic_(15),1601.55,Cholinergic_(26),12.05,122.74,9.44E-09,9.84E-08
WBGene00021972,glb-31,RIA,1368.21,CAN,80.12,16.87,1.06E-08,1.10E-07
WBGene00007604,xbx-9,Cluster_21,4168.40,Cluster_16,825.42,5.04,1.09E-08,1.11E-07
WBGene00006767,unc-31,AFD,14228.20,Cluster_16,1911.19,7.44,1.42E-08,1.43E-07
WBGene00001548,gcy-23,AFD,4134.31,AWB/AWC,35.97,111.84,2.08E-08,2.07E-07
WBGene00006981,zig-4,ASK,8479.86,BAG,1224.63,6.92,2.90E-08,2.86E-07
WBGene00009958,madd-4,GABAergic,11352.22,RIA,3374.32,3.36,2.97E-08,2.90E-07
WBGene00020317,pdf-1,Cholinergic_(36),22828.10,Cluster_10,5282.34,4.32,3.13E-08,2.97E-07
WBGene00001614,glr-3,RIA,2327.39,AWA,33.85,66.77,3.15E-08,2.97E-07
WBGene00011493,T05F1.8,PVC/PVD,712.34,SDQ/ALN/PLN,31.90,21.65,3.13E-08,2.97E-07
WBGene00000069,acy-2,CAN,2436.24,Cluster_10,181.79,13.33,3.41E-08,3.19E-07
WBGene00020126,flp-26,Pharyngeal_(37),2815.56,Cluster_25,802.22,3.51,4.54E-08,4.20E-07
WBGene00001528,gcy-1,ASER,1919.22,AWA,0.00,1919.22,5.45E-08,5.00E-07
WBGene00206525,R74.10,Pharyngeal_(37),2112.25,ASG,162.63,12.91,5.61E-08,5.09E-07
WBGene00012116,del-4,Cholinergic_(15),2519.85,URX/AQR/PQR,55.74,44.41,1.91E-07,1.72E-06
WBGene00020048,lgc-12,PVC/PVD,762.32,GABAergic,121.98,6.20,3.96E-07,3.53E-06
WBGene00010979,R02D5.6,AWB/AWC,2263.95,Cluster_16,250.78,8.99,5.19E-07,4.58E-06
WBGene00016436,C35B1.7,Cluster_27,2670.27,AWA,52.91,49.53,5.76E-07,5.03E-06
WBGene00010559,K04D7.6,Cluster_21,1110.52,AWA,0.00,1110.52,6.49E-07,5.62E-06
WBGene00016090,aexr-2,URX/AQR/PQR,779.65,Touch_receptor,12.01,59.94,7.05E-07,6.04E-06
WBGene00002988,lim-6,ASEL,1981.53,Cholinergic_(3),48.91,39.70,7.71E-07,6.55E-06
WBGene00016559,C41A3.2,CAN,2876.93,Cluster_16,774.45,3.71,1.23E-06,1.03E-05
WBGene00007809,C29F4.3,Cluster_21,1067.37,AWA,0.00,1067.37,2.12E-06,1.77E-05
WBGene00013778,clec-194,Cholinergic_(15),1608.11,AWA,0.00,1608.11,2.42E-06,2.00E-05
WBGene00000907,daf-11,AWB/AWC,7430.17,ASI/ASJ,1895.98,3.92,2.72E-06,2.22E-05
WBGene00017236,F08B4.4,ASER,2443.93,Cluster_21,206.88,11.76,3.10E-06,2.51E-05
WBGene00012432,Y11D7A.8,Dopaminergic,460.45,Cholinergic_(3),11.13,37.95,3.18E-06,2.56E-05
WBGene00020136,T01B6.4,RIA,2322.06,AWA,169.27,13.64,6.85E-06,5.46E-05
WBGene00189987,C18H7.12,Cluster_21,1009.83,ASG,46.33,21.34,7.65E-06,6.05E-05
WBGene00044092,srbc-71,ASK,1056.57,AWA,0.00,1056.57,1.37E-05,0.000106901
WBGene00000440,ceh-17,Cholinergic_(29),616.62,Cholinergic_(26),49.05,12.32,1.38E-05,0.000106901
WBGene00018157,lron-6,Cholinergic_(26),541.90,Cholinergic_(36),48.90,10.86,1.41E-05,0.000108746
WBGene00010784,twk-48,SDQ/ALN/PLN,1618.78,Cholinergic_(26),426.75,3.78,1.42E-05,0.000108883
WBGene00022527,ZC132.9,Cluster_21,1357.14,ASG,138.98,9.70,1.50E-05,0.000113797
WBGene00009738,hecw-1,SDQ/ALN/PLN,1921.44,Cholinergic_(11),641.86,2.99,1.68E-05,0.000125932
WBGene00001552,gcy-32,URX/AQR/PQR,2331.12,RIC,173.24,13.38,2.13E-05,0.000158758
WBGene00000903,daf-7,ASI/ASJ,5384.71,Dopaminergic,1739.24,3.09,3.01E-05,0.000222574
WBGene00019369,K03H6.4,ASI/ASJ,854.64,ASG,21.60,37.82,3.27E-05,0.000239596
WBGene00044513,Y58G8A.5,flp-1(+),1099.79,ASK,99.92,10.90,3.35E-05,0.000243559
WBGene00006614,trp-1,Cholinergic_(3),2006.43,Pharyngeal_(37),684.39,2.93,4.06E-05,0.00029324
WBGene00001118,dyf-2,AWA,6170.50,ASI/ASJ,1618.19,3.81,4.52E-05,0.00032365
WBGene00008610,F09C3.2,Cholinergic_(29),5463.71,Cholinergic_(36),2125.08,2.57,4.75E-05,0.000337523
WBGene00017314,lgc-39,Cholinergic_(24),5374.17,RIC,1148.42,4.68,5.75E-05,0.000405279
WBGene00013534,acr-24,PVC/PVD,2728.88,Cluster_27,570.77,4.77,6.51E-05,0.000455625
WBGene00008481,E04D5.2,Cholinergic_(24),987.95,Cholinergic_(3),220.49,4.46,0.000115649,0.00080341
WBGene00008977,iglr-1,Cholinergic_(26),966.86,Cholinergic_(29),278.36,3.46,0.000121446,0.000837339
WBGene00006682,twk-30,Cholinergic_(11),583.80,Pharyngeal_(37),146.61,3.96,0.000129609,0.000886952
WBGene00005585,sri-73,Cluster_21,630.76,AWA,0.00,630.76,0.000138877,0.000943338
WBGene00005743,srv-32,Cluster_16,290.87,Cholinergic_(11),17.55,15.68,0.000141437,0.000953657
WBGene00002113,ins-30,ASI/ASJ,7138.92,ASK,2277.96,3.13,0.000143688,0.000961764
WBGene00000447,ceh-24,Cholinergic_(29),548.16,Cholinergic_(26),75.03,7.21,0.000144996,0.000963487
WBGene00021953,Y55H10A.2,Cluster_21,762.62,Cluster_16,74.13,10.15,0.000165317,0.001090619
WBGene00003176,mec-14,Touch_receptor,784.32,Pharyngeal_(33),47.54,16.16,0.000172842,0.001132115
WBGene00009529,F38B2.2,ASI/ASJ,3089.72,ASK,679.32,4.54,0.000203094,0.001320831
WBGene00008265,kcnl-4,PVC/PVD,1906.35,Cluster_21,565.19,3.37,0.00022014,0.00142161
WBGene00002084,ins-1,Cholinergic_(23),4359.47,ASI/ASJ,1028.20,4.24,0.000269928,0.001730937
WBGene00017292,F09E5.16,Cholinergic_(23),6823.59,flp-1(+),2309.11,2.95,0.000279018,0.001776804
WBGene00019488,K07D4.9,DVA,4561.88,Cholinergic_(36),1416.20,3.22,0.000284291,0.001797896
WBGene00003743,nlp-5,ASER,1408.76,Cholinergic_(24),108.69,12.84,0.000293307,0.00184221
WBGene00044482,F29B9.12,Cholinergic_(29),430.80,Cholinergic_(26),67.83,6.26,0.000348913,0.002176553
WBGene00044187,ttll-9,Dopaminergic,595.48,Cholinergic_(24),31.29,18.44,0.000402898,0.002496337
WBGene00007484,C09G1.2,Cluster_16,2578.66,ASI/ASJ,773.08,3.33,0.000476661,0.002933547
WBGene00006693,twk-43,GABAergic,2549.16,Cholinergic_(24),1021.52,2.49,0.000528862,0.003233112
WBGene00006766,unc-30,GABAergic,1632.32,ASG,274.91,5.92,0.000560389,0.003403157
WBGene00001553,gcy-33,BAG,3643.36,URX/AQR/PQR,921.63,3.95,0.00057542,0.003471446
WBGene00005514,sri-2,ASK,447.97,Cholinergic_(11),7.58,52.21,0.000608302,0.003645837
WBGene00003570,ncx-5,URX/AQR/PQR,1975.67,BAG,298.77,6.59,0.000642224,0.00382415
WBGene00001536,gcy-9,BAG,3404.98,ASEL,552.41,6.15,0.0006789,0.004016459
WBGene00006979,zig-2,flp-1(+),2282.27,Cluster_13,350.17,6.50,0.000870828,0.005118905
WBGene00014074,ZK757.2,Dopaminergic,836.03,Cholinergic_(11),231.91,3.59,0.001057849,0.006178648
WBGene00010262,droe-4,ASK,8067.52,AWA,2578.14,3.13,0.001156812,0.0067139
WBGene00005253,srh-30,AWB/AWC,907.86,Cluster_16,105.50,8.52,0.001312338,0.007568642
WBGene00007408,C07B5.3,Cluster_27,3167.59,Cluster_21,863.27,3.67,0.001421055,0.008144424
WBGene00044922,Y43C5A.7,RIC,2521.82,DVA,396.06,6.35,0.00143401,0.00816762
WBGene00023407,cex-1,Cholinergic_(3),212.84,Touch_receptor,22.34,9.12,0.001577616,0.008930088
WBGene00005666,sru-3,ASK,629.03,Cluster_21,48.17,12.79,0.002139712,0.012037524
WBGene00008518,irld-2,ASI/ASJ,744.72,ASK,70.68,10.39,0.002166916,0.012116234
WBGene00001759,gst-11,RIA,1595.02,DVA,322.14,4.94,0.002184158,0.012138622
WBGene00001544,gcy-19,ASER,3574.42,ASEL,663.44,5.38,0.002467991,0.013633419
WBGene00007154,dhc-3,Dopaminergic,1140.63,URX/AQR/PQR,174.03,6.52,0.00276495,0.015182392
WBGene00001211,egl-47,BAG,1281.99,Cluster_21,195.15,6.54,0.002852279,0.015568689
WBGene00006207,str-162,ASK,572.24,Dopaminergic,30.24,18.32,0.003105935,0.016852913
WBGene00002100,ins-17,Cluster_40,7919.03,Cholinergic_(26),2402.34,3.30,0.00327754,0.017425933
WBGene00018298,F41G3.1,flp-1(+),1591.04,Touch_receptor,797.99,1.99,0.003306557,0.017425933
WBGene00016107,C25G6.1,Cholinergic_(15),614.29,flp-1(+),39.67,15.10,0.003231572,0.017425933
WBGene00009184,F27C8.3,CAN,447.38,AWA,0.00,447.38,0.003292967,0.017425933
WBGene00017255,F08D12.12,Cholinergic_(11),320.81,Cholinergic_(26),35.04,8.90,0.003263282,0.017425933
WBGene00018348,F42C5.6,CAN,324.55,AWA,0.00,324.55,0.003437602,0.018013034
WBGene00000367,cca-1,Pharyngeal_(33),6289.97,Dopaminergic,2795.43,2.25,0.004179614,0.021776737
WBGene00020294,T06F4.1,GABAergic,3480.21,Cholinergic_(24),1867.36,1.86,0.004277943,0.022163127
WBGene00021980,glb-32,Cluster_40,3298.00,Pharyngeal_(33),493.80,6.67,0.004320293,0.022256792
WBGene00009087,F23D12.3,ASK,2662.35,AFD,471.05,5.64,0.004396682,0.022523786
WBGene00012035,T26C5.5,DVA,3031.19,RIC,839.68,3.61,0.004497993,0.022914778
WBGene00003167,mec-3,PVC/PVD,1504.49,Touch_receptor,777.98,1.93,0.004874155,0.024693922
WBGene00008952,F19C6.3,BAG,3043.69,Cluster_13,750.82,4.05,0.005014233,0.025125964
WBGene00044603,acbp-7,Cholinergic_(23),2699.39,Cluster_10,573.08,4.70,0.005006235,0.025125964
WBGene00010848,M04B2.6,Cluster_16,2144.26,AFD,141.90,15.00,0.005313026,0.026478503
WBGene00045195,F53F4.17,Cluster_13,1077.22,ASK,121.46,8.80,0.005842405,0.028959381
WBGene00009208,F28C6.9,Cholinergic_(15),1284.14,Cholinergic_(35),172.99,7.38,0.005996384,0.02956282
WBGene00013964,ZK287.3,flp-1(+),883.65,URX/AQR/PQR,152.88,5.74,0.006078401,0.02980692
WBGene00002101,ins-18,Cholinergic_(23),2490.04,URX/AQR/PQR,602.86,4.12,0.00626511,0.030350012
WBGene00004346,rgs-3,ASK,2134.02,ASI/ASJ,711.75,2.99,0.006265452,0.030350012
WBGene00005606,srj-18,ASK,1606.75,Cluster_16,475.66,3.37,0.006288443,0.030350012
WBGene00010982,flp-32,RIC,4749.99,Cholinergic_(35),1365.61,3.48,0.00633558,0.030364005
WBGene00011371,T02D1.4,ASI/ASJ,526.09,Cholinergic_(15),44.72,11.51,0.006357567,0.030364005
WBGene00015964,glb-5,URX/AQR/PQR,1140.35,BAG,182.64,6.21,0.007395566,0.035138519
WBGene00003756,nlp-18,Cluster_17,47545.65,Cluster_40,15389.84,3.09,0.007751045,0.03639003
WBGene00003848,odr-1,AWB/AWC,2073.32,ASK,502.45,4.12,0.007778022,0.03639003
WBGene00008996,glb-14,BAG,1596.55,Dopaminergic,463.64,3.44,0.007735562,0.03639003
WBGene00014073,ZK757.1,BAG,2687.49,AWB/AWC,845.44,3.18,0.008038452,0.037129453
WBGene00013043,arrd-16,DVA,846.22,Dopaminergic,157.83,5.33,0.008057537,0.037129453
WBGene00003757,nlp-19,Cluster_25,243.56,Cholinergic_(36),7.90,27.37,0.008002822,0.037129453
WBGene00005903,srx-12,Cluster_16,499.36,ASI/ASJ,74.32,6.63,0.008801768,0.040356107
WBGene00006783,unc-47,GABAergic,1722.77,Cluster_13,290.92,5.90,0.009251863,0.04220875
WBGene00006818,unc-86,Cholinergic_(15),3267.69,SDQ/ALN/PLN,1277.09,2.56,0.009634566,0.043308319
WBGene00016028,flp-24,DVA,1291.38,Cholinergic_(11),447.64,2.88,0.009572091,0.043308319
WBGene00235164,K09F6.13,Cholinergic_(26),707.82,Cholinergic_(29),294.32,2.40,0.009590667,0.043308319
WBGene00006662,twk-7,GABAergic,1561.70,Cholinergic_(11),1006.26,1.55,0.009845844,0.044042141
WBGene00001237,elc-2,Cluster_16,268.51,ASI/ASJ,19.25,13.26,0.009976905,0.044411758
WBGene00077522,T10D4.15,Cluster_16,280.70,Cholinergic_(29),44.55,6.16,0.010707381,0.04743318
WBGene00003808,npr-2,Cluster_27,4697.10,ASI/ASJ,2017.26,2.33,0.011024801,0.048604532
WBGene00018798,gnrr-1,Cholinergic_(23),885.02,RIC,34.65,24.83,0.011682784,0.051258914
WBGene00011251,glb-22,Cholinergic_(11),415.28,GABAergic,187.44,2.20,0.012060632,0.052664758
WBGene00000527,cle-1,GABAergic,6464.97,Cholinergic_(29),4444.50,1.45,0.012405486,0.053913891
WBGene00003759,nlp-21,Cluster_17,13004.05,Cholinergic_(36),7073.85,1.84,0.01345757,0.058124227
WBGene00011854,T20B3.14,GABAergic,1096.65,Touch_receptor,582.56,1.88,0.013501047,0.058124227
WBGene00013274,Y57A10B.2,AFD,1590.21,PVC/PVD,365.73,4.34,0.014010542,0.060035828
WBGene00011141,R08B4.5,URX/AQR/PQR,844.73,Dopaminergic,183.27,4.58,0.014084974,0.060074051
WBGene00011473,T05C12.11,PVC/PVD,1395.39,Dopaminergic,674.77,2.06,0.014515411,0.061623296
WBGene00016114,flp-27,ASG,12631.93,Cluster_5,6433.95,1.96,0.014747021,0.061925945
WBGene00001446,flp-3,Dopaminergic,2481.56,URX/AQR/PQR,932.01,2.66,0.014669114,0.061925945
WBGene00022254,Y73B6BL.35,Cholinergic_(11),474.57,Pharyngeal_(37),221.36,2.13,0.014789293,0.061925945
WBGene00001665,gpa-3,ASK,2018.70,Cluster_21,738.33,2.73,0.014877645,0.062012728
WBGene00008453,E02A10.3,Cluster_25,1228.14,Touch_receptor,640.78,1.91,0.015218442,0.063146204
WBGene00005929,srx-38,Cluster_16,294.26,Cluster_21,26.33,10.77,0.015412592,0.063663725
WBGene00012993,dmsr-3,Cholinergic_(35),4521.44,Cluster_13,1369.35,3.30,0.016153933,0.066130161
WBGene00017180,F02E11.2,Cholinergic_(15),1978.58,BAG,565.69,3.49,0.016087116,0.066130161
WBGene00003232,mgl-1,Cholinergic_(23),3114.20,Cholinergic_(3),1155.89,2.69,0.017218923,0.070176678
WBGene00008300,C54D10.5,DVA,1507.48,Cholinergic_(23),309.74,4.85,0.017715821,0.071882334
WBGene00021254,Y22D7AL.16,Cluster_21,1739.98,Cluster_16,783.53,2.22,0.01941841,0.078443533
WBGene00006681,twk-29,Cholinergic_(26),628.49,Cholinergic_(11),316.64,1.98,0.019565128,0.078689572
WBGene00000501,cho-1,Cholinergic_(29),2247.81,Cholinergic_(3),1449.74,1.55,0.019714269,0.078943163
WBGene00006782,unc-46,GABAergic,1216.91,Pharyngeal_(33),326.51,3.72,0.020339479,0.081092619
WBGene00017389,lgc-38,Cholinergic_(23),1939.74,Cholinergic_(35),439.79,4.40,0.021104438,0.083778224
WBGene00015700,asp-9,Cholinergic_(24),303.88,Cholinergic_(11),62.74,4.77,0.022319156,0.08821839
WBGene00018258,F41B4.2,ASG,6366.53,Cluster_17,3057.87,2.08,0.024361994,0.095161482
WBGene00002088,ins-5,ASI/ASJ,1646.42,AWA,520.22,3.16,0.024346387,0.095161482
WBGene00044615,B0252.8,GABAergic,399.99,Cholinergic_(3),153.28,2.59,0.024387076,0.095161482
WBGene00007799,nrx-1,ASER,6643.41,Cholinergic_(26),3124.70,2.13,0.025636679,0.099613706
WBGene00016738,C47D2.1,ASK,1687.46,Touch_receptor,697.57,2.42,0.025768094,0.099701865
WBGene00021357,Y37E11AL.1,ASK,1020.76,Cluster_10,251.52,4.04,0.02647397,0.102002647
WBGene00001841,hen-1,ASER,3143.70,RIC,1091.38,2.88,0.02697407,0.103433222
WBGene00008582,F08G5.3,Cholinergic_(11),867.47,Pharyngeal_(37),503.89,1.72,0.027070854,0.103433222
WBGene00015437,scrm-3,GABAergic,225.04,Cholinergic_(11),84.88,2.62,0.027234756,0.103627681
WBGene00010073,F54F12.2,GABAergic,1231.43,SDQ/ALN/PLN,596.93,2.06,0.027666275,0.104834603
WBGene00007314,gcy-29,AFD,5352.76,Cholinergic_(23),1628.20,3.29,0.028793854,0.108658287
WBGene00044643,H17B01.5,AWB/AWC,1856.28,Cluster_13,614.23,3.02,0.029281829,0.110046873
WBGene00013417,srab-24,AWB/AWC,674.98,Cluster_16,167.93,4.00,0.029454629,0.11024447
WBGene00008802,acp-2,PVC/PVD,590.39,Touch_receptor,271.36,2.17,0.030069938,0.111636168
WBGene00045340,T10G3.8,Touch_receptor,478.18,Cluster_25,212.78,2.24,0.030058103,0.111636168
WBGene00015902,nhr-159,ASI/ASJ,328.57,Cluster_21,51.29,6.28,0.030930844,0.11436929
WBGene00013322,Y57G11C.32,PVC/PVD,806.95,Cholinergic_(15),261.42,3.08,0.033332091,0.122753121
WBGene00004364,ric-4,PVC/PVD,5231.27,Touch_receptor,3679.15,1.42,0.034510776,0.126585525
WBGene00003739,nlp-1,Cholinergic_(23),3276.22,Cholinergic_(35),1125.86,2.91,0.035492428,0.129667557
